,S_1_GRU_ID,S_1_HRU_ID,S_1_center_lat,S_1_center_lon,S_1_HRU_area,S_1_elev_mean,ID_t,lat_t,lon_t,order_t,AS1,IDS1,S_2_ID,S_2_lat,S_2_lon,S_2_elev_m,lat_s,lon_s,ID_s,S_2_lat_temp,S_2_lon_temp,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
104,71030527,23,51.03141398845065,-115.66847480929769,26122178.1,2333.8318323918893,23,51.03141398845065,51.03141398845065,64,26122178.110610478,64,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,26097781.296502683,0.9990660497756163,0.05346971751721023,0.9990660497756163,0.15747524282130707
107,71030563,24,51.055409391713006,-115.72904864784627,29039262.29,2304.6155485563413,24,51.055409391713006,51.055409391713006,66,29039262.30118849,66,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,29039262.30118849,1.0,0.05949628953173879,1.0,0.1752242778907838
110,71030690,25,51.10255966417614,-115.78761298537823,49859750.77,2282.8794914959362,25,51.10255966417614,51.10255966417614,68,49859750.78809483,68,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,42169600.06698861,0.845764357030392,0.08639801896484481,0.8457643570303917,0.25445335504885785
109,71030690,25,51.10255966417614,-115.78761298537823,49859750.77,2282.8794914959362,25,51.10255966417614,51.10255966417614,68,49859750.78809483,68,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,7690150.721106247,0.15423564296960843,0.01584035190922702,0.15423564296960837,0.019174840373461125
116,71030774,26,51.110913283198755,-115.6062100439595,14856783.24,2265.0246623817884,26,51.110913283198755,51.110913283198755,71,14856783.253530424,71,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,2139970.1162948897,0.1440399364907183,0.0044079603829219865,0.1440399364907184,0.027740531066120393
117,71030774,26,51.110913283198755,-115.6062100439595,14856783.24,2265.0246623817884,26,51.110913283198755,51.110913283198755,71,14856783.253530424,71,20.0,51.0,-115.5,2041,51.0,-115.5,20,51.0,-115.5,488085265.98455757,20,9846956.231929213,0.6627919425013673,0.020174663974062184,0.6627919425013676,0.12765703131780867
115,71030774,26,51.110913283198755,-115.6062100439595,14856783.24,2265.0246623817884,26,51.110913283198755,51.110913283198755,71,14856783.253530424,71,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,1843681.3217614943,0.1240969387719498,0.003777375492052061,0.12409693877194987,0.01112486002280994
114,71030774,26,51.110913283198755,-115.6062100439595,14856783.24,2265.0246623817884,26,51.110913283198755,51.110913283198755,71,14856783.253530424,71,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,1026175.5835448183,0.06907118223596402,0.002113740413356683,0.06907118223596406,0.0025586953654381252
124,71030784,27,51.12059768927725,-115.89998318993163,30297004.68,2234.6343787747865,27,51.12059768927725,51.12059768927725,74,30297004.692278948,74,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,12370491.611799404,0.40830741314015,0.02548102729419911,0.40830741314014946,0.03248008975594222
127,71030784,27,51.12059768927725,-115.89998318993163,30297004.68,2234.6343787747865,27,51.12059768927725,51.12059768927725,74,30297004.692278948,74,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,2332180.9524389394,0.07697727798924245,0.004778224451694649,0.07697727798924235,0.014072489826472915
125,71030784,27,51.12059768927725,-115.89998318993163,30297004.68,2234.6343787747865,27,51.12059768927725,51.12059768927725,74,30297004.692278948,74,12.0,51.0,-116.0,1848,51.0,-116.0,12,51.0,-116.0,488085265.98455757,12,15053587.625014914,0.4968671912590505,0.03084212672277469,0.4968671912590498,0.6634150900628906
126,71030784,27,51.12059768927725,-115.89998318993163,30297004.68,2234.6343787747865,27,51.12059768927725,51.12059768927725,74,30297004.692278948,74,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,540744.5030257279,0.017848117611558287,0.0011138381459024804,0.017848117611558263,0.001348307712602717
130,71030838,28,51.15171552712417,-115.97275966042257,39066320.95,2362.721576433616,28,51.15171552712417,51.15171552712417,76,39066320.97082153,76,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,32073934.246398434,0.8210124078577637,0.0660666382235997,0.8210124078577639,0.08421365098825492
131,71030838,28,51.15171552712417,-115.97275966042257,39066320.95,2362.721576433616,28,51.15171552712417,51.15171552712417,76,39066320.97082153,76,12.0,51.0,-116.0,1848,51.0,-116.0,12,51.0,-116.0,488085265.98455757,12,6992386.724423091,0.17898759214223614,0.014326158177133586,0.17898759214223617,0.30815610099676216
134,71030896,29,51.14508370709144,-115.85181595069255,24593608.85,2327.208907950236,29,51.14508370709144,51.14508370709144,78,24593608.857457593,78,12.0,51.0,-116.0,1848,51.0,-116.0,12,51.0,-116.0,488085265.98455757,12,14874.22727122612,0.0006048005137202857,3.0474649221836423e-05,0.0006048005137202858,0.0006555106377670953
136,71030896,29,51.14508370709144,-115.85181595069255,24593608.85,2327.208907950236,29,51.14508370709144,51.14508370709144,78,24593608.857457593,78,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,3972019.609841802,0.1615061714961509,0.008137962537816262,0.16150617149615093,0.023967353601612583
135,71030896,29,51.14508370709144,-115.85181595069255,24593608.85,2327.208907950236,29,51.14508370709144,51.14508370709144,78,24593608.857457593,78,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,18467971.412979245,0.7509256376328498,0.038040758476714655,0.7509256376328499,0.04604856480817833
133,71030896,29,51.14508370709144,-115.85181595069255,24593608.85,2327.208907950236,29,51.14508370709144,51.14508370709144,78,24593608.857457593,78,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,2138743.6073653176,0.08696339035727894,0.004405433991207595,0.08696339035727896,0.005615507169166464
140,71031094,30,51.258283586289636,-115.61373992422126,24528490.29,2329.113305513756,30,51.258283586289636,51.258283586289636,80,24528490.297143202,80,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,13884054.185914524,0.5660378611859198,0.028598698804175232,0.5660378611859197,0.17997963314315113
139,71031094,30,51.258283586289636,-115.61373992422126,24528490.29,2329.113305513756,30,51.258283586289636,51.258283586289636,80,24528490.297143202,80,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,10644436.111228684,0.43396213881408047,0.021925657895674,0.43396213881408036,0.026541139530351653
144,71031120,31,51.237365866844044,-116.03222865297973,42059265.74,2305.7710661256215,31,51.237365866844044,51.237365866844044,82,42059265.75198657,82,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,35678646.63101567,0.8482945670379535,0.07349170891137723,0.8482945670379531,0.0936782208267768
143,71031120,31,51.237365866844044,-116.03222865297973,42059265.74,2305.7710661256215,31,51.237365866844044,51.237365866844044,82,42059265.75198657,82,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.57163244,7,6380619.120970916,0.15170543296204694,0.013142948160625816,0.1517054329620469,0.06303855607997488
148,71031296,32,51.28161009280348,-115.70956609205408,70411146.1,2319.7143563098407,32,51.28161009280348,51.28161009280348,85,70411146.12558359,85,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,159276.4195905822,0.0022620909948902223,0.0003280812858753949,0.0022620909948902223,0.0020647075546096605
147,71031296,32,51.28161009280348,-115.70956609205408,70411146.1,2319.7143563098407,32,51.28161009280348,51.28161009280348,85,70411146.12558359,85,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,70251869.70599301,0.9977379090051098,0.14470644058638335,0.9977379090051098,0.17516800858694045
152,71031359,33,51.31929645649142,-116.1921087727054,43681770.89,2415.539345052886,33,51.31929645649142,51.31929645649142,87,43681770.91029658,87,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,999620.5069572842,0.02288415707801937,0.0020590416469240596,0.02288415707801937,0.0026246138639214774
151,71031359,33,51.31929645649142,-116.1921087727054,43681770.89,2415.539345052886,33,51.31929645649142,51.31929645649142,87,43681770.91029658,87,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.57163244,7,42682150.403339304,0.9771158429219807,0.08791768941220895,0.9771158429219807,0.42168652928548495
156,71031503,34,51.36001537408404,-116.237274100702,30588043.79,2413.054304645063,34,51.36001537408404,51.36001537408404,90,30588043.807175577,90,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,7250364.036447165,0.23703261582050955,0.015015389787647946,0.23703261582050955,0.017008819750011724
157,71031503,34,51.36001537408404,-116.237274100702,30588043.79,2413.054304645063,34,51.36001537408404,51.36001537408404,90,30588043.807175577,90,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.57163244,7,23337679.77072841,0.7629673841794904,0.04807149738931539,0.7629673841794904,0.23056910420625373
163,71031506,35,51.34880685538449,-115.88016161561666,96221613.64,2371.327424044896,35,51.34880685538449,51.34880685538449,92,96221613.6698572,92,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,40720887.37470742,0.42319896561310555,0.08387783405870301,0.4231989656131045,0.10153461792792806
160,71031506,35,51.34880685538449,-115.88016161561666,96221613.64,2371.327424044896,35,51.34880685538449,51.34880685538449,92,96221613.6698572,92,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,30223587.151357524,0.31410393152474736,0.0622552500983689,0.3141039315247466,0.07935536066216548
161,71031506,35,51.34880685538449,-115.88016161561666,96221613.64,2371.327424044896,35,51.34880685538449,51.34880685538449,92,96221613.6698572,92,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,25277139.14379249,0.26269710286214953,0.0523485572659153,0.26269710286214887,0.10327524770380166
168,71031643,36,51.39109548258578,-116.26725593912337,21720997.01,2492.927133332092,36,51.39109548258578,51.39109548258578,95,21720997.02252514,95,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.57163244,7,3704314.238872861,0.17054070929761686,0.007630232911436621,0.17054070929761686,0.03659748630310083
167,71031643,36,51.39109548258578,-116.26725593912337,21720997.01,2492.927133332092,36,51.39109548258578,51.39109548258578,95,21720997.02252514,95,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,18016682.78365228,0.8294592907023832,0.037312266434763645,0.8294592907023832,0.04226581016067775
171,71031654,37,51.46186819008913,-116.10668080432956,23486539.95,2357.0340437189216,37,51.46186819008913,51.46186819008913,97,23486539.95945067,97,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,20769745.30542159,0.8843254622128417,0.0430138155799307,0.8843254622128413,0.084859310183805
170,71031654,37,51.46186819008913,-116.10668080432956,23486539.95,2357.0340437189216,37,51.46186819008913,51.46186819008913,97,23486539.95945067,97,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,2716794.6540290895,0.11567453778715871,0.005626438961985519,0.11567453778715865,0.006373400057691433
174,71031687,38,51.39430363429774,-115.99659758662885,25187936.16,2516.085360689106,38,51.39430363429774,51.39430363429774,99,25187936.173908144,99,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,5090036.137978069,0.20208230252904844,0.010484575215795567,0.20208230252904855,0.013364451131822814
175,71031687,38,51.39430363429774,-115.99659758662885,25187936.16,2516.085360689106,38,51.39430363429774,51.39430363429774,99,25187936.173908144,99,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,20097900.03593006,0.797917697470951,0.04162243460268713,0.7979176974709514,0.08211434026333025
177,71031838,39,51.46258232849896,-116.01169247923069,61013574.99,2399.790764952759,39,51.46258232849896,51.46258232849896,101,61013575.0119043,101,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,61013575.0119043,1.0,0.12635815340254833,1.0,0.24928422622527413
180,71031893,40,51.49619964748946,-116.34338149531358,40386682.94,2382.656989395468,40,51.49619964748946,51.49619964748946,103,40386682.95684546,103,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,30785688.920558646,0.7622732709555324,0.06375667714058393,0.7622732709555322,0.07222095760950291
179,71031893,40,51.49619964748946,-116.34338149531358,40386682.94,2382.656989395468,40,51.49619964748946,51.49619964748946,103,40386682.95684546,103,2.0,51.5,-116.5,2093,51.5,-116.5,2,51.5,-116.5,482862192.65585667,2,9600994.036286825,0.23772672904446776,0.01988350751480268,0.2377267290444677,0.14314315476081138
