,Unnamed: 0,S_1_GRU_ID,S_1_HRU_ID,S_1_center_lat,S_1_center_lon,S_1_HRU_area,S_1_elev_mean,ID_t,lat_t,lon_t,order_t,AS1,IDS1,S_2_ID,S_2_lat,S_2_lon,S_2_elev_m,lat_s,lon_s,ID_s,S_2_lat_temp,S_2_lon_temp,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
35,87,71030270,19,51.60433016201385,-116.14612062771296,16904698.44,2380.264395329075,19,51.60433016201385,51.60433016201385,55,16904698.44538112,55,5.0,51.75,-116.25,2284,51.75,-116.25,5,51.75,-116.25,480236308.728176,5,1059292.1679625183,0.0626625888290808,0.002205772759598,0.0626625888290808,0.0078423303106935,0.0,1.0,1
36,93,71030287,20,51.41047676695771,-116.05230907259902,15347223.09,2301.928243692535,20,51.41047676695771,51.41047676695771,57,15347223.100638645,57,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,696718.4585392303,0.0453970372340673,0.0014351169392069,0.0453970372340673,0.0018293111363812,2.0,2.0,1
37,94,71030287,20,51.41047676695771,-116.05230907259902,15347223.09,2301.928243692535,20,51.41047676695771,51.41047676695771,57,15347223.100638645,57,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,14650504.64209941,0.9546029627659326,0.0303409644924093,0.9546029627659328,0.059857822014248,1.0,2.0,1
38,98,71030302,21,51.1933529993014,-115.91412507228388,10877174.61,2257.326559299745,21,51.1933529993014,51.1933529993014,60,10877174.62079695,60,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,10877174.62079695,1.0,0.0224050581087602,1.0,0.0285592213358408,2.0,2.0,1
39,101,71030418,22,51.00901987397416,-115.59692364591888,54606227.95,2352.439437695002,22,51.00901987397416,51.00901987397416,62,54606227.97234437,62,20.0,51.0,-115.5,2041,51.0,-115.5,20,51.0,-115.5,488085265.9845576,20,44206044.42879522,0.8095421725738613,0.0905703316809277,0.8095421725738619,0.5730920565874738,3.0,4.0,1
40,100,71030418,22,51.00901987397416,-115.59692364591888,54606227.95,2352.439437695002,22,51.00901987397416,51.00901987397416,62,54606227.97234437,62,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,10400183.543549117,0.190457827426138,0.021308128452867,0.1904578274261382,0.0627551978576061,3.0,3.0,1
41,105,71030527,23,51.03141398845065,-115.66847480929768,26122178.1,2333.8318323918893,23,51.03141398845065,51.03141398845065,64,26122178.11061048,64,20.0,51.0,-115.5,2041,51.0,-115.5,20,51.0,-115.5,488085265.9845576,20,24396.814107796195,0.0009339502243837,4.99847379301306e-05,0.0009339502243837,0.0003162830004783,3.0,4.0,1
42,104,71030527,23,51.03141398845065,-115.66847480929768,26122178.1,2333.8318323918893,23,51.03141398845065,51.03141398845065,64,26122178.11061048,64,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,26097781.296502683,0.9990660497756164,0.0534697175172102,0.9990660497756164,0.157475242821307,3.0,3.0,1
43,107,71030563,24,51.055409391713006,-115.72904864784628,29039262.29,2304.6155485563413,24,51.055409391713006,51.055409391713006,66,29039262.30118849,66,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,29039262.30118849,1.0,0.0594962895317387,1.0,0.1752242778907838,3.0,3.0,1
44,110,71030690,25,51.10255966417614,-115.78761298537825,49859750.77,2282.879491495936,25,51.10255966417614,51.10255966417614,68,49859750.78809483,68,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,42169600.06698861,0.845764357030392,0.0863980189648448,0.8457643570303917,0.2544533550488578,3.0,3.0,1
45,109,71030690,25,51.10255966417614,-115.78761298537825,49859750.77,2282.879491495936,25,51.10255966417614,51.10255966417614,68,49859750.78809483,68,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,7690150.721106247,0.1542356429696084,0.015840351909227,0.1542356429696083,0.0191748403734611,2.0,3.0,1
46,116,71030774,26,51.11091328319876,-115.6062100439595,14856783.24,2265.0246623817884,26,51.11091328319876,51.11091328319876,71,14856783.253530424,71,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,2139970.1162948897,0.1440399364907183,0.0044079603829219,0.1440399364907184,0.0277405310661203,2.0,4.0,1
47,117,71030774,26,51.11091328319876,-115.6062100439595,14856783.24,2265.0246623817884,26,51.11091328319876,51.11091328319876,71,14856783.253530424,71,20.0,51.0,-115.5,2041,51.0,-115.5,20,51.0,-115.5,488085265.9845576,20,9846956.231929213,0.6627919425013673,0.0201746639740621,0.6627919425013676,0.1276570313178086,3.0,4.0,1
48,115,71030774,26,51.11091328319876,-115.6062100439595,14856783.24,2265.0246623817884,26,51.11091328319876,51.11091328319876,71,14856783.253530424,71,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,1843681.3217614945,0.1240969387719498,0.003777375492052,0.1240969387719498,0.0111248600228099,3.0,3.0,1
49,114,71030774,26,51.11091328319876,-115.6062100439595,14856783.24,2265.0246623817884,26,51.11091328319876,51.11091328319876,71,14856783.253530424,71,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,1026175.5835448185,0.069071182235964,0.0021137404133566,0.069071182235964,0.0025586953654381,2.0,3.0,1
50,124,71030784,27,51.12059768927725,-115.89998318993165,30297004.68,2234.6343787747865,27,51.12059768927725,51.12059768927725,74,30297004.692278948,74,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,12370491.611799404,0.40830741314015,0.0254810272941991,0.4083074131401494,0.0324800897559422,2.0,2.0,1
51,127,71030784,27,51.12059768927725,-115.89998318993165,30297004.68,2234.6343787747865,27,51.12059768927725,51.12059768927725,74,30297004.692278948,74,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,2332180.95243894,0.0769772779892424,0.0047782244516946,0.0769772779892423,0.0140724898264729,3.0,3.0,1
52,125,71030784,27,51.12059768927725,-115.89998318993165,30297004.68,2234.6343787747865,27,51.12059768927725,51.12059768927725,74,30297004.692278948,74,12.0,51.0,-116.0,1848,51.0,-116.0,12,51.0,-116.0,488085265.9845576,12,15053587.625014914,0.4968671912590505,0.0308421267227746,0.4968671912590498,0.6634150900628906,3.0,2.0,1
53,126,71030784,27,51.12059768927725,-115.89998318993165,30297004.68,2234.6343787747865,27,51.12059768927725,51.12059768927725,74,30297004.692278948,74,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,540744.5030257279,0.0178481176115582,0.0011138381459024,0.0178481176115582,0.0013483077126027,2.0,3.0,1
54,130,71030838,28,51.15171552712417,-115.97275966042255,39066320.95,2362.721576433616,28,51.15171552712417,51.15171552712417,76,39066320.97082153,76,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,32073934.246398438,0.8210124078577637,0.0660666382235997,0.8210124078577639,0.0842136509882549,2.0,2.0,1
55,131,71030838,28,51.15171552712417,-115.97275966042255,39066320.95,2362.721576433616,28,51.15171552712417,51.15171552712417,76,39066320.97082153,76,12.0,51.0,-116.0,1848,51.0,-116.0,12,51.0,-116.0,488085265.9845576,12,6992386.724423091,0.1789875921422361,0.0143261581771335,0.1789875921422361,0.3081561009967621,3.0,2.0,1
56,134,71030896,29,51.14508370709144,-115.85181595069255,24593608.85,2327.208907950236,29,51.14508370709144,51.14508370709144,78,24593608.857457597,78,12.0,51.0,-116.0,1848,51.0,-116.0,12,51.0,-116.0,488085265.9845576,12,14874.22727122612,0.0006048005137202,3.0474649221836423e-05,0.0006048005137202,0.000655510637767,3.0,2.0,1
57,136,71030896,29,51.14508370709144,-115.85181595069255,24593608.85,2327.208907950236,29,51.14508370709144,51.14508370709144,78,24593608.857457597,78,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,3972019.609841802,0.1615061714961509,0.0081379625378162,0.1615061714961509,0.0239673536016125,3.0,3.0,1
58,135,71030896,29,51.14508370709144,-115.85181595069255,24593608.85,2327.208907950236,29,51.14508370709144,51.14508370709144,78,24593608.857457597,78,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,18467971.412979245,0.7509256376328498,0.0380407584767146,0.7509256376328499,0.0460485648081783,2.0,3.0,1
59,133,71030896,29,51.14508370709144,-115.85181595069255,24593608.85,2327.208907950236,29,51.14508370709144,51.14508370709144,78,24593608.857457597,78,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,2138743.6073653176,0.0869633903572789,0.0044054339912075,0.0869633903572789,0.0056155071691664,2.0,2.0,1
60,140,71031094,30,51.25828358628964,-115.61373992422126,24528490.29,2329.113305513756,30,51.25828358628964,51.25828358628964,80,24528490.2971432,80,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,13884054.185914524,0.5660378611859198,0.0285986988041752,0.5660378611859197,0.1799796331431511,2.0,4.0,1
61,139,71031094,30,51.25828358628964,-115.61373992422126,24528490.29,2329.113305513756,30,51.25828358628964,51.25828358628964,80,24528490.2971432,80,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,10644436.111228684,0.4339621388140804,0.021925657895674,0.4339621388140803,0.0265411395303516,2.0,3.0,1
62,144,71031120,31,51.23736586684405,-116.03222865297973,42059265.74,2305.771066125621,31,51.23736586684405,51.23736586684405,82,42059265.75198657,82,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,35678646.63101567,0.8482945670379535,0.0734917089113772,0.8482945670379531,0.0936782208267768,2.0,2.0,1
63,143,71031120,31,51.23736586684405,-116.03222865297973,42059265.74,2305.771066125621,31,51.23736586684405,51.23736586684405,82,42059265.75198657,82,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.5716325,7,6380619.120970916,0.1517054329620469,0.0131429481606258,0.1517054329620469,0.0630385560799748,2.0,1.0,1
64,148,71031296,32,51.28161009280348,-115.70956609205408,70411146.1,2319.7143563098407,32,51.28161009280348,51.28161009280348,85,70411146.12558359,85,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,159276.4195905822,0.0022620909948902,0.0003280812858753,0.0022620909948902,0.0020647075546096,2.0,4.0,1
